alpha,attack_type,system,variant,accuracy,seed
0.1,fltrust_aligned,FedStrategist,b,0.7491999999999999,44
0.1,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.7973000000000001,44
0.1,trim_attack,Random,,0.6047,44
0.1,trim_attack,Oracle (decoupled),,0.5248,44
0.1,trim_attack,GRADF,shared (own),0.8335000000000001,44
0.1,trim_attack,FedStrategist,b,0.4683999999999999,44
0.1,trim_attack,AdaAggRL,own (gradient-inversion),0.8371999999999999,44
0.1,krum_collusion,Random,,0.6605000000000001,44
0.1,krum_collusion,Oracle (decoupled),,0.7457,44
0.1,krum_collusion,GRADF,shared (own),0.4899,44
0.1,krum_collusion,FedStrategist,b,0.6311000000000001,44
0.1,krum_collusion,AdaAggRL,own (gradient-inversion),0.8423999999999999,44
0.1,low_mag_backdoor,Random,,0.8765000000000001,44
0.1,low_mag_backdoor,Oracle (decoupled),,0.8634999999999999,44
0.1,low_mag_backdoor,GRADF,shared (own),0.7169,44
0.1,low_mag_backdoor,FedStrategist,b,0.8539999999999999,44
0.1,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.817,44
0.1,sign_flipping,Random,,0.6283,44
0.1,sign_flipping,Oracle (decoupled),,0.7116,44
0.1,sign_flipping,GRADF,shared (own),0.4908,44
0.1,sign_flipping,FedStrategist,b,0.6085,44
0.1,sign_flipping,AdaAggRL,own (gradient-inversion),0.8195,44
0.1,gaussian_noise,Random,,0.8012,44
0.1,gaussian_noise,Oracle (decoupled),,0.7835,44
0.1,gaussian_noise,GRADF,shared (own),0.7847000000000001,44
0.1,gaussian_noise,FedStrategist,b,0.683,44
0.1,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8413999999999999,44
0.1,label_flipping,Random,,0.7245,44
0.1,label_flipping,Oracle (decoupled),,0.7453000000000001,44
0.1,label_flipping,GRADF,shared (own),0.7541,44
0.1,label_flipping,FedStrategist,b,0.7407,44
0.1,label_flipping,AdaAggRL,own (gradient-inversion),0.6811,44
0.05,fltrust_aligned,Random,,0.7631,44
0.05,fltrust_aligned,Oracle (decoupled),,0.7739,44
0.05,fltrust_aligned,GRADF,shared (own),0.7683000000000001,44
0.05,fltrust_aligned,FedStrategist,b,0.7637,44
0.05,fltrust_aligned,AdaAggRL,own (gradient-inversion),0.7895000000000001,44
0.05,trim_attack,Random,,0.7209,44
0.05,trim_attack,Oracle (decoupled),,0.4629999999999999,44
0.05,trim_attack,GRADF,shared (own),0.7958000000000001,44
0.05,trim_attack,FedStrategist,b,0.6081,44
0.05,trim_attack,AdaAggRL,own (gradient-inversion),0.8029999999999999,44
0.05,krum_collusion,Random,,0.6560999999999999,44
0.05,krum_collusion,Oracle (decoupled),,0.7009,44
0.05,krum_collusion,GRADF,shared (own),0.5191000000000001,44
0.05,krum_collusion,FedStrategist,b,0.6769,44
0.05,krum_collusion,AdaAggRL,own (gradient-inversion),0.8034000000000001,44
0.05,low_mag_backdoor,Random,,0.8425,44
0.05,low_mag_backdoor,Oracle (decoupled),,0.8506,44
0.05,low_mag_backdoor,GRADF,shared (own),0.3148999999999999,44
0.05,low_mag_backdoor,FedStrategist,b,0.7202999999999999,44
0.05,low_mag_backdoor,AdaAggRL,own (gradient-inversion),0.8562,44
0.05,sign_flipping,Random,,0.566,44
0.05,sign_flipping,Oracle (decoupled),,0.629,44
0.05,sign_flipping,GRADF,shared (own),0.5582999999999999,44
0.05,sign_flipping,FedStrategist,b,0.5502,44
0.05,sign_flipping,AdaAggRL,own (gradient-inversion),0.7658000000000001,44
0.05,gaussian_noise,Random,,0.7688999999999999,44
0.05,gaussian_noise,Oracle (decoupled),,0.7597,44
0.05,gaussian_noise,GRADF,shared (own),0.2908,44
0.05,gaussian_noise,FedStrategist,b,0.5783,44
0.05,gaussian_noise,AdaAggRL,own (gradient-inversion),0.8045,44
