alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n,best_fixed_rule,best_fixed_rule_accuracy
0.5,low_mag_backdoor,GRADF,0.9010999999999999,0.0,0.9010999999999999,0.9010999999999999,1.0,trimmed_mean,0.8985899999999999
0.5,low_mag_backdoor,Oracle (decoupled),0.9044000000000001,0.0,0.9044000000000001,0.9044000000000001,1.0,trimmed_mean,0.8985899999999999
0.5,low_mag_backdoor,Random,0.9005000000000001,0.0,0.9005000000000001,0.9005000000000001,1.0,trimmed_mean,0.8985899999999999
0.5,sign_flipping,AdaAggRL,0.8907999999999999,0.0,0.8907999999999999,0.8907999999999999,1.0,krum,0.8844100000000001
0.5,sign_flipping,FedStrategist,0.8020000000000002,0.0,0.8020000000000002,0.8020000000000002,1.0,krum,0.8844100000000001
0.5,sign_flipping,GRADF,0.7887000000000001,0.0,0.7887000000000001,0.7887000000000001,1.0,krum,0.8844100000000001
0.5,sign_flipping,Oracle (decoupled),0.8878999999999999,0.0,0.8878999999999999,0.8878999999999999,1.0,krum,0.8844100000000001
0.5,sign_flipping,Random,0.8323,0.0,0.8323,0.8323,1.0,krum,0.8844100000000001
0.5,trim_attack,AdaAggRL,0.8964000000000001,0.0,0.8964000000000001,0.8964000000000001,1.0,trimmed_mean,0.86913
0.5,trim_attack,FedStrategist,0.8573000000000001,0.0,0.8573000000000001,0.8573000000000001,1.0,trimmed_mean,0.86913
0.5,trim_attack,GRADF,0.8637,0.0,0.8637,0.8637,1.0,trimmed_mean,0.86913
0.5,trim_attack,Oracle (decoupled),0.8404999999999999,0.0,0.8404999999999999,0.8404999999999999,1.0,trimmed_mean,0.86913
0.5,trim_attack,Random,0.8198000000000001,0.0,0.8198000000000001,0.8198000000000001,1.0,trimmed_mean,0.86913
