alpha,attack_type,strategy,accuracy,seed
0.05,gaussian_noise,krum,0.3097999999999999,44
0.05,label_flipping,median,0.563,44
0.05,label_flipping,trimmed_mean,0.595,44
0.05,label_flipping,krum,0.0177,44
0.5,fltrust_aligned,fltrust,0.6787,42
0.5,trim_attack,fltrust,0.7573,42
0.5,krum_collusion,fltrust,0.7572,42
0.5,low_mag_backdoor,fltrust,0.784,42
0.5,sign_flipping,fltrust,0.7572000000000001,42
0.5,gaussian_noise,fltrust,0.7573,42
0.5,label_flipping,fltrust,0.7583,42
0.1,fltrust_aligned,fltrust,0.7082999999999999,42
0.1,trim_attack,fltrust,0.4784999999999999,42
0.1,krum_collusion,fltrust,0.4795,42
0.1,low_mag_backdoor,fltrust,0.6850999999999999,42
0.1,sign_flipping,fltrust,0.4730999999999999,42
0.1,gaussian_noise,fltrust,0.4749,42
0.1,label_flipping,fltrust,0.4742,42
0.05,fltrust_aligned,fltrust,0.5835000000000001,42
0.05,trim_attack,fltrust,0.53,42
0.05,krum_collusion,fltrust,0.5322,42
0.05,low_mag_backdoor,fltrust,0.5564,42
0.05,sign_flipping,fltrust,0.5308,42
0.05,gaussian_noise,fltrust,0.5256000000000001,42
0.05,label_flipping,fltrust,0.5246,42
0.5,fltrust_aligned,fltrust,0.8051,43
0.5,trim_attack,fltrust,0.7719,43
0.5,krum_collusion,fltrust,0.7726000000000001,43
0.5,low_mag_backdoor,fltrust,0.7952999999999999,43
0.5,sign_flipping,fltrust,0.772,43
0.5,gaussian_noise,fltrust,0.7725,43
0.5,label_flipping,fltrust,0.7718,43
0.1,fltrust_aligned,fltrust,0.5601,43
0.1,trim_attack,fltrust,0.5752999999999999,43
0.1,krum_collusion,fltrust,0.5738000000000001,43
0.1,low_mag_backdoor,fltrust,0.7282,43
0.1,sign_flipping,fltrust,0.5816,43
0.1,gaussian_noise,fltrust,0.5809,43
0.1,label_flipping,fltrust,0.5740999999999999,43
0.05,fltrust_aligned,fltrust,0.6670999999999999,43
0.05,trim_attack,fltrust,0.5981,43
0.05,krum_collusion,fltrust,0.5912000000000001,43
0.05,low_mag_backdoor,fltrust,0.7026,43
0.05,sign_flipping,fltrust,0.6032000000000001,43
0.05,gaussian_noise,fltrust,0.5959000000000001,43
0.05,label_flipping,fltrust,0.5992,43
0.5,fltrust_aligned,fltrust,0.731,44
0.5,trim_attack,fltrust,0.7796000000000001,44
0.5,krum_collusion,fltrust,0.7813000000000001,44
0.5,low_mag_backdoor,fltrust,0.8116,44
0.5,sign_flipping,fltrust,0.7809999999999999,44
0.5,gaussian_noise,fltrust,0.7787,44
0.5,label_flipping,fltrust,0.7819,44
0.1,fltrust_aligned,fltrust,0.5708,44
0.1,trim_attack,fltrust,0.5709,44
0.1,krum_collusion,fltrust,0.5734999999999999,44
0.1,low_mag_backdoor,fltrust,0.5417,44
0.1,sign_flipping,fltrust,0.5786,44
0.1,gaussian_noise,fltrust,0.5762,44
0.1,label_flipping,fltrust,0.5751999999999999,44
0.05,fltrust_aligned,fltrust,0.5572999999999999,44
0.05,trim_attack,fltrust,0.6458000000000002,44
0.05,krum_collusion,fltrust,0.6373,44
0.05,low_mag_backdoor,fltrust,0.6694,44
0.05,sign_flipping,fltrust,0.6473000000000001,44
0.05,gaussian_noise,fltrust,0.6395,44
0.05,label_flipping,fltrust,0.6456000000000001,44
0.5,fltrust_aligned,fltrust,0.7321000000000001,45
0.5,trim_attack,fltrust,0.7779,45
0.5,krum_collusion,fltrust,0.7782000000000001,45
0.5,low_mag_backdoor,fltrust,0.8128,45
0.5,sign_flipping,fltrust,0.7761,45
0.5,gaussian_noise,fltrust,0.7765000000000001,45
0.5,label_flipping,fltrust,0.7784,45
0.1,fltrust_aligned,fltrust,0.3935,45
0.1,trim_attack,fltrust,0.4109,45
0.1,krum_collusion,fltrust,0.4079999999999999,45
0.1,low_mag_backdoor,fltrust,0.4829,45
0.1,sign_flipping,fltrust,0.4033,45
0.1,gaussian_noise,fltrust,0.4016,45
0.1,label_flipping,fltrust,0.4044999999999999,45
0.05,fltrust_aligned,fltrust,0.5517000000000001,45
0.05,trim_attack,fltrust,0.5218999999999999,45
0.05,krum_collusion,fltrust,0.5263,45
0.05,low_mag_backdoor,fltrust,0.5169999999999999,45
0.05,sign_flipping,fltrust,0.534,45
0.05,gaussian_noise,fltrust,0.5238,45
