alpha,attack_type,system,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.5,label_flipping,BestFixedRule,0.88595,0.0005212165257037634,0.8855771441588318,0.8863228558411682,10.0
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8772,0.0034985711369071508,0.8746972729761838,0.8797027270238161,10.0
0.5,label_flipping,Random,0.8674099999999999,0.013523432338804446,0.8577359192840092,0.8770840807159906,10.0
0.5,low_mag_backdoor,BestFixedRule,0.8985899999999999,0.00035730472522303887,0.8983343995972757,0.8988456004027241,10.0
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8640899999999998,0.029833815638559493,0.8427481739515007,0.8854318260484989,10.0
0.5,low_mag_backdoor,Random,0.8951699999999999,0.0071105633469585984,0.8900834094044112,0.9002565905955886,10.0
0.5,sign_flipping,BestFixedRule,0.8844100000000001,0.001111005550541155,0.8836152345068488,0.8852047654931515,10.0
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.82599,0.009416823007551695,0.8192536106292444,0.8327263893707556,10.0
0.5,sign_flipping,Random,0.85122,0.021860608917004604,0.8355818624424969,0.8668581375575031,10.0
0.5,trim_attack,BestFixedRule,0.86913,0.00047387293186627796,0.8687910117256369,0.869468988274363,10.0
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.86416,0.011528245505906125,0.8559131899636249,0.8724068100363752,10.0
0.5,trim_attack,Random,0.8497999999999999,0.017674149358754325,0.837156675199058,0.8624433248009418,10.0
