alpha,attack_type,strategy,accuracy_mean,accuracy_std,ci95_low,ci95_high,n
0.1,gaussian_noise,trimmed_mean,0.8041666666666668,0.00571780843797112,0.7899628430973386,0.8183704902359951,3.0
0.1,krum_collusion,fltrust,0.85045,0.007336703770919384,0.8452016382904118,0.8556983617095882,10.0
0.1,krum_collusion,krum,0.19449999999999998,0.00026457513110651905,0.19384275893922698,0.19515724106077298,3.0
0.1,krum_collusion,median,0.4203666666666667,0.004636090306856982,0.4088499799003231,0.4318833534330103,3.0
0.1,krum_collusion,trimmed_mean,0.4273666666666667,0.0028501461950807792,0.4202865110194648,0.43444682231386855,3.0
0.1,label_flipping,fltrust,0.84749,0.008178895605968696,0.8416391705450571,0.8533408294549428,10.0
0.1,label_flipping,krum,0.19376666666666667,0.00020816659994661702,0.19324955216541242,0.19428378116792092,3.0
0.1,label_flipping,median,0.5271,0.001417744687875838,0.523578126955214,0.530621873044786,3.0
0.1,label_flipping,trimmed_mean,0.5924666666666666,0.001184623709594455,0.5895238982354294,0.5954094350979038,3.0
0.1,low_mag_backdoor,fltrust,0.8803199999999999,0.001641002403681621,0.8791460975978118,0.881493902402188,10.0
0.1,low_mag_backdoor,krum,0.5412666666666668,0.0006027713773341566,0.5397692995566673,0.5427640337766663,3.0
0.1,low_mag_backdoor,median,0.7392666666666665,0.00040414518843274387,0.7382627143630583,0.7402706189702747,3.0
0.1,low_mag_backdoor,trimmed_mean,0.8313333333333333,0.0005507570547287713,0.829965176963669,0.8327014897029975,3.0
0.1,sign_flipping,fltrust,0.84698,0.008551387151931692,0.8408627061452368,0.8530972938547631,10.0
0.1,sign_flipping,krum,0.19413333333333335,0.0004932882862316341,0.19290793729874067,0.19535872936792603,3.0
0.1,sign_flipping,median,0.42006666666666664,0.00015275252316520205,0.419687208363307,0.4204461249700263,3.0
0.1,sign_flipping,trimmed_mean,0.43886666666666657,0.0004932882862315836,0.43764127063207403,0.4400920627012591,3.0
0.1,trim_attack,fltrust,0.85076,0.008336292807824008,0.8447965753697295,0.8567234246302704,10.0
0.1,trim_attack,krum,0.19416666666666668,0.000152752523165193,0.193787208363307,0.19454612497002635,3.0
0.1,trim_attack,median,0.4056333333333333,0.0016563010998406585,0.40151885330920556,0.409747813357461,3.0
0.1,trim_attack,trimmed_mean,0.39399999999999996,0.0006557438524301279,0.39237104196692985,0.3956289580330701,3.0
0.5,fltrust_aligned,fltrust,0.8996700000000002,0.0003267686915507603,0.8994362437598443,0.8999037562401561,10.0
0.5,fltrust_aligned,krum,0.8958,0.0003605551275464208,0.8949043314104971,0.896695668589503,3.0
0.5,fltrust_aligned,median,0.9,1.3597399555105182e-16,0.8999999999999997,0.9000000000000004,3.0
0.5,fltrust_aligned,trimmed_mean,0.8985,0.0005291502622129018,0.8971855178784544,0.8998144821215456,3.0
0.5,gaussian_noise,fltrust,0.8941500000000001,0.00015811388300840547,0.8940368921418602,0.89426310785814,10.0
0.5,gaussian_noise,krum,0.8577,0.02424891750161224,0.7974623495651224,0.9179376504348776,3.0
0.5,gaussian_noise,median,0.8926333333333334,0.0009073771725877323,0.8903792834801268,0.8948873831865399,3.0
0.5,gaussian_noise,trimmed_mean,0.8947666666666668,0.0010263202878893108,0.8922171457351865,0.8973161875981471,3.0
0.5,krum_collusion,fltrust,0.8941000000000001,0.0002981423969999681,0.8938867217773435,0.8943132782226567,10.0
0.5,krum_collusion,krum,0.8724666666666666,0.02482928378615329,0.8107873064577322,0.934146026875601,3.0
0.5,krum_collusion,median,0.8631333333333333,0.001193035344544861,0.8601696692424984,0.8660969974241682,3.0
0.5,krum_collusion,trimmed_mean,0.8799666666666667,0.00030550504633033147,0.8792077500599474,0.8807255832733859,3.0
0.5,label_flipping,fltrust,0.8941100000000001,0.00019692073983656056,0.8939691313888292,0.894250868611171,10.0
0.5,label_flipping,krum,0.8870333333333335,0.00015275252316516573,0.8866538750299738,0.8874127916366931,3.0
0.5,label_flipping,median,0.8767666666666666,0.0008504900548114991,0.8746539322480408,0.8788794010852924,3.0
0.5,label_flipping,trimmed_mean,0.8862000000000001,0.0008717797887081915,0.8840343789505284,0.8883656210494718,3.0
0.5,low_mag_backdoor,fltrust,0.9005000000000001,0.00011547005383792312,0.9004173976995543,0.9005826023004458,10.0
0.5,low_mag_backdoor,krum,0.884,0.0008544003745317174,0.8818775518086922,0.8861224481913078,3.0
0.5,low_mag_backdoor,median,0.8962333333333334,0.00011547005383778425,0.8959464898180172,0.8965201768486497,3.0
0.5,low_mag_backdoor,trimmed_mean,0.8984333333333333,0.00045092497528235055,0.8973131735970643,0.8995534930696023,3.0
0.5,sign_flipping,fltrust,0.89405,0.0002718251071716246,0.8938555480323686,0.8942444519676315,10.0
0.5,sign_flipping,krum,0.8847999999999999,0.0008544003745317174,0.8826775518086921,0.8869224481913077,3.0
0.5,sign_flipping,median,0.8604666666666666,0.0005859465277083154,0.8590110948001172,0.861922238533216,3.0
0.5,sign_flipping,trimmed_mean,0.8731666666666668,0.00040414518843275303,0.8721627143630585,0.874170618970275,3.0
0.5,trim_attack,fltrust,0.8939400000000001,0.00030623157540951367,0.8937209351277046,0.8941590648722956,10.0
0.5,trim_attack,krum,0.8568666666666668,0.025579744590854207,0.7933230584715844,0.9204102748617492,3.0
0.5,trim_attack,median,0.8529,0.0007810249675906789,0.8509598264241894,0.8548401735758105,3.0
0.5,trim_attack,trimmed_mean,0.8689333333333332,0.000611010092660772,0.8674155001198945,0.8704511665467719,3.0
