alpha,attack_type,system,accuracy,seed
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7167,49
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5565000000000001,49
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.4746,49
0.05,label_flipping,Discrete+AdaAggRL-detector,0.4363,49
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8865999999999999,50
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8573000000000001,50
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8863999999999999,50
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9003,50
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8302999999999999,50
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.8058,50
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8785999999999999,50
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7457,50
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4629,50
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6469,50
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8541000000000001,50
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6952,50
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6597000000000001,50
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7419,50
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7396999999999999,50
0.05,trim_attack,Discrete+AdaAggRL-detector,0.3783,50
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.7009000000000001,50
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.72,50
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5526,50
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5833999999999999,50
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7118,50
0.5,fltrust_aligned,Discrete+AdaAggRL-detector,0.8889000000000001,51
0.5,trim_attack,Discrete+AdaAggRL-detector,0.8634999999999999,51
0.5,krum_collusion,Discrete+AdaAggRL-detector,0.8855999999999999,51
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector,0.9011,51
0.5,sign_flipping,Discrete+AdaAggRL-detector,0.8275,51
0.5,gaussian_noise,Discrete+AdaAggRL-detector,0.7905000000000001,51
0.5,label_flipping,Discrete+AdaAggRL-detector,0.8781000000000001,51
0.1,fltrust_aligned,Discrete+AdaAggRL-detector,0.7852,51
0.1,trim_attack,Discrete+AdaAggRL-detector,0.4615,51
0.1,krum_collusion,Discrete+AdaAggRL-detector,0.6315000000000001,51
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector,0.8553000000000001,51
0.1,sign_flipping,Discrete+AdaAggRL-detector,0.6104,51
0.1,gaussian_noise,Discrete+AdaAggRL-detector,0.6225,51
0.1,label_flipping,Discrete+AdaAggRL-detector,0.7418,51
0.05,fltrust_aligned,Discrete+AdaAggRL-detector,0.7477,51
0.05,trim_attack,Discrete+AdaAggRL-detector,0.5509999999999999,51
0.05,krum_collusion,Discrete+AdaAggRL-detector,0.6592,51
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector,0.7213,51
0.05,sign_flipping,Discrete+AdaAggRL-detector,0.5495,51
0.05,gaussian_noise,Discrete+AdaAggRL-detector,0.5425,51
0.05,label_flipping,Discrete+AdaAggRL-detector,0.7047,51
0.5,fltrust_aligned,Random,0.8845000000000001,42
0.5,trim_attack,Random,0.828,42
0.5,krum_collusion,Random,0.8841000000000001,42
0.5,low_mag_backdoor,Random,0.8983000000000001,42
0.5,sign_flipping,Random,0.8568999999999999,42
0.5,gaussian_noise,Random,0.8934,42
0.5,label_flipping,Random,0.8736,42
0.1,fltrust_aligned,Random,0.7497999999999999,42
0.1,trim_attack,Random,0.6426999999999999,42
0.1,krum_collusion,Random,0.6533,42
0.1,low_mag_backdoor,Random,0.8708,42
