alpha,attack_type,system,accuracy,seed
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7188999999999999,50
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5525000000000001,50
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.5456000000000001,50
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.7088,50
0.5,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.8912000000000001,51
0.5,trim_attack,Discrete+AdaAggRL-detector(random),0.8653000000000001,51
0.5,krum_collusion,Discrete+AdaAggRL-detector(random),0.8865999999999999,51
0.5,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.9024,51
0.5,sign_flipping,Discrete+AdaAggRL-detector(random),0.8295999999999999,51
0.5,gaussian_noise,Discrete+AdaAggRL-detector(random),0.7893000000000001,51
0.5,label_flipping,Discrete+AdaAggRL-detector(random),0.8793,51
0.1,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7849000000000002,51
0.1,trim_attack,Discrete+AdaAggRL-detector(random),0.4637,51
0.1,krum_collusion,Discrete+AdaAggRL-detector(random),0.6339,51
0.1,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.8532,51
0.1,sign_flipping,Discrete+AdaAggRL-detector(random),0.6137,51
0.1,gaussian_noise,Discrete+AdaAggRL-detector(random),0.6228,51
0.1,label_flipping,Discrete+AdaAggRL-detector(random),0.7452,51
0.05,fltrust_aligned,Discrete+AdaAggRL-detector(random),0.7471,51
0.05,trim_attack,Discrete+AdaAggRL-detector(random),0.6067,51
0.05,krum_collusion,Discrete+AdaAggRL-detector(random),0.6592,51
0.05,low_mag_backdoor,Discrete+AdaAggRL-detector(random),0.7182,51
0.05,sign_flipping,Discrete+AdaAggRL-detector(random),0.5486000000000001,51
0.05,gaussian_noise,Discrete+AdaAggRL-detector(random),0.5874,51
0.05,label_flipping,Discrete+AdaAggRL-detector(random),0.7079,51
0.5,fltrust_aligned,Random,0.8845000000000001,42
0.5,trim_attack,Random,0.828,42
0.5,krum_collusion,Random,0.8841000000000001,42
0.5,low_mag_backdoor,Random,0.8983000000000001,42
0.5,sign_flipping,Random,0.8568999999999999,42
0.5,gaussian_noise,Random,0.8934,42
0.5,label_flipping,Random,0.8736,42
0.1,fltrust_aligned,Random,0.7497999999999999,42
0.1,trim_attack,Random,0.6426999999999999,42
0.1,krum_collusion,Random,0.6533,42
0.1,low_mag_backdoor,Random,0.8708,42
0.1,sign_flipping,Random,0.6026,42
0.1,gaussian_noise,Random,0.7818,42
0.1,label_flipping,Random,0.745,42
0.05,fltrust_aligned,Random,0.7857000000000001,42
0.05,trim_attack,Random,0.7245999999999999,42
0.05,krum_collusion,Random,0.6534000000000001,42
0.05,low_mag_backdoor,Random,0.8395999999999999,42
0.05,sign_flipping,Random,0.5711,42
0.05,gaussian_noise,Random,0.756,42
0.05,label_flipping,Random,0.6410000000000001,42
0.5,fltrust_aligned,Random,0.8866000000000002,43
0.5,trim_attack,Random,0.8356999999999999,43
0.5,krum_collusion,Random,0.8801,43
0.5,low_mag_backdoor,Random,0.9003,43
0.5,sign_flipping,Random,0.8585,43
0.5,gaussian_noise,Random,0.8950000000000001,43
0.5,label_flipping,Random,0.8714999999999999,43
0.1,fltrust_aligned,Random,0.8564,43
0.1,trim_attack,Random,0.5041,43
0.1,krum_collusion,Random,0.6057,43
0.1,low_mag_backdoor,Random,0.8534999999999998,43
0.1,sign_flipping,Random,0.7188,43
0.1,gaussian_noise,Random,0.8154999999999999,43
0.1,label_flipping,Random,0.7696000000000001,43
0.05,fltrust_aligned,Random,0.7380000000000001,43
0.05,trim_attack,Random,0.6352,43
0.05,krum_collusion,Random,0.5989,43
0.05,low_mag_backdoor,Random,0.8532,43
0.05,sign_flipping,Random,0.6192,43
0.05,gaussian_noise,Random,0.7512,43
0.05,label_flipping,Random,0.6688000000000001,43
0.5,fltrust_aligned,Random,0.8907999999999999,44
0.5,trim_attack,Random,0.8718,44
0.5,krum_collusion,Random,0.8799999999999999,44
0.5,low_mag_backdoor,Random,0.9016,44
0.5,sign_flipping,Random,0.834,44
0.5,gaussian_noise,Random,0.8923,44
0.5,label_flipping,Random,0.8693,44
0.1,fltrust_aligned,Random,0.8192,44
0.1,trim_attack,Random,0.6047,44
0.1,krum_collusion,Random,0.6605000000000001,44
0.1,low_mag_backdoor,Random,0.8765000000000001,44
0.1,sign_flipping,Random,0.6283,44
0.1,gaussian_noise,Random,0.8012,44
0.1,label_flipping,Random,0.7245,44
0.05,fltrust_aligned,Random,0.7631,44
0.05,trim_attack,Random,0.7209,44
0.05,krum_collusion,Random,0.6560999999999999,44
0.05,low_mag_backdoor,Random,0.8425,44
0.05,sign_flipping,Random,0.566,44
0.05,gaussian_noise,Random,0.7688999999999999,44
0.05,label_flipping,Random,0.6660000000000001,44
0.5,fltrust_aligned,Random,0.8855999999999999,45
0.5,trim_attack,Random,0.8568,45
0.5,krum_collusion,Random,0.8793,45
0.5,low_mag_backdoor,Random,0.8955,45
0.5,sign_flipping,Random,0.8517999999999999,45
0.5,gaussian_noise,Random,0.8721,45
0.5,label_flipping,Random,0.8379,45
0.1,fltrust_aligned,Random,0.8077,45
0.1,trim_attack,Random,0.6485000000000001,45
0.1,krum_collusion,Random,0.6487,45
0.1,low_mag_backdoor,Random,0.8764,45
0.1,sign_flipping,Random,0.6313000000000001,45
0.1,gaussian_noise,Random,0.7636000000000001,45
0.1,label_flipping,Random,0.7408,45
0.05,fltrust_aligned,Random,0.6905,45
0.05,trim_attack,Random,0.6171,45
0.05,krum_collusion,Random,0.5904999999999999,45
0.05,low_mag_backdoor,Random,0.8311999999999999,45
0.05,sign_flipping,Random,0.5605999999999999,45
0.05,gaussian_noise,Random,0.7304999999999999,45
0.05,label_flipping,Random,0.6773,45
0.5,fltrust_aligned,Random,0.8826,46
0.5,trim_attack,Random,0.8695,46
0.5,krum_collusion,Random,0.8827,46
0.5,low_mag_backdoor,Random,0.8936999999999999,46
0.5,sign_flipping,Random,0.8613,46
0.5,gaussian_noise,Random,0.8815,46
0.5,label_flipping,Random,0.881,46
0.1,fltrust_aligned,Random,0.7697,46
0.1,trim_attack,Random,0.6713999999999999,46
0.1,krum_collusion,Random,0.6451,46
0.1,low_mag_backdoor,Random,0.8543,46
0.1,sign_flipping,Random,0.6286,46
0.1,gaussian_noise,Random,0.7635,46
0.1,label_flipping,Random,0.7335,46
0.05,fltrust_aligned,Random,0.7830999999999999,46
0.05,trim_attack,Random,0.724,46
0.05,krum_collusion,Random,0.6254,46
0.05,low_mag_backdoor,Random,0.8023,46
0.05,sign_flipping,Random,0.5654999999999999,46
0.05,gaussian_noise,Random,0.7110999999999998,46
0.05,label_flipping,Random,0.6822,46
0.5,fltrust_aligned,Random,0.8869,47
0.5,trim_attack,Random,0.8198000000000001,47
0.5,krum_collusion,Random,0.8782,47
0.5,low_mag_backdoor,Random,0.9005000000000001,47
0.5,sign_flipping,Random,0.8323,47
0.5,gaussian_noise,Random,0.8934000000000001,47
0.5,label_flipping,Random,0.8535,47
0.1,fltrust_aligned,Random,0.8093,47
0.1,trim_attack,Random,0.6023999999999999,47
0.1,krum_collusion,Random,0.6861,47
0.1,low_mag_backdoor,Random,0.8713999999999998,47
0.1,sign_flipping,Random,0.5945,47
0.1,gaussian_noise,Random,0.7913,47
0.1,label_flipping,Random,0.7476,47
0.05,fltrust_aligned,Random,0.748,47
0.05,trim_attack,Random,0.7083,47
0.05,krum_collusion,Random,0.6533,47
0.05,low_mag_backdoor,Random,0.8362,47
0.05,sign_flipping,Random,0.5705,47
0.05,gaussian_noise,Random,0.7506999999999999,47
0.05,label_flipping,Random,0.6771,47
0.5,fltrust_aligned,Random,0.8792000000000002,48
0.5,trim_attack,Random,0.8606,48
0.5,krum_collusion,Random,0.8646,48
0.5,low_mag_backdoor,Random,0.8937000000000002,48
0.5,sign_flipping,Random,0.8655999999999999,48
0.5,gaussian_noise,Random,0.8920000000000001,48
0.5,label_flipping,Random,0.8780999999999999,48
0.1,fltrust_aligned,Random,0.8013,48
0.1,trim_attack,Random,0.6902000000000001,48
0.1,krum_collusion,Random,0.6354,48
0.1,low_mag_backdoor,Random,0.8140000000000001,48
0.1,sign_flipping,Random,0.6984,48
0.1,gaussian_noise,Random,0.7921,48
0.1,label_flipping,Random,0.7418,48
