alpha,attack_type,system_b,variant_b,accuracy_b,seed,system_a,variant_a,accuracy_a,delta_b_minus_a
0.1,fltrust_aligned,FedStrategist,b,0.7862000000000001,46,FedStrategist,a,0.7801000000000001,0.006099999999999994
0.1,trim_attack,FedStrategist,b,0.4608,46,FedStrategist,a,0.4504,0.010399999999999965
0.1,krum_collusion,FedStrategist,b,0.6463,46,FedStrategist,a,0.649,-0.0027000000000000357
0.1,low_mag_backdoor,FedStrategist,b,0.8535,46,FedStrategist,a,0.8552,-0.0016999999999999238
0.1,sign_flipping,FedStrategist,b,0.6209,46,FedStrategist,a,0.6191000000000001,0.0017999999999999128
0.1,gaussian_noise,FedStrategist,b,0.6169,46,FedStrategist,a,0.6292000000000001,-0.012300000000000089
0.1,label_flipping,FedStrategist,b,0.7285999999999999,46,FedStrategist,a,0.7321,-0.0035000000000000586
0.05,fltrust_aligned,FedStrategist,b,0.7576,46,FedStrategist,a,0.7551,0.0025000000000000577
0.05,trim_attack,FedStrategist,b,0.6092,46,FedStrategist,a,0.6088,0.00039999999999995595
0.05,krum_collusion,FedStrategist,b,0.6786000000000001,46,FedStrategist,a,0.6799999999999999,-0.0013999999999998458
0.05,low_mag_backdoor,FedStrategist,b,0.859,46,FedStrategist,a,0.8530999999999999,0.005900000000000127
0.05,sign_flipping,FedStrategist,b,0.5462,46,FedStrategist,a,0.5484000000000001,-0.0022000000000000908
0.05,gaussian_noise,FedStrategist,b,0.4831999999999999,46,FedStrategist,a,0.5499,-0.06670000000000015
0.05,label_flipping,FedStrategist,b,0.6683,46,FedStrategist,a,0.6826999999999999,-0.014399999999999857
0.5,fltrust_aligned,FedStrategist,b,0.883,47,FedStrategist,a,0.8837999999999999,-0.0007999999999999119
0.5,trim_attack,FedStrategist,b,0.8573000000000001,47,FedStrategist,a,0.8579999999999999,-0.0006999999999998119
0.5,krum_collusion,FedStrategist,b,0.8687000000000001,47,FedStrategist,a,0.8189,0.04980000000000018
0.5,low_mag_backdoor,FedStrategist,b,0.9016,47,FedStrategist,a,0.843,0.058599999999999985
0.5,sign_flipping,FedStrategist,b,0.8020000000000002,47,FedStrategist,a,0.8070999999999999,-0.005099999999999771
0.5,gaussian_noise,FedStrategist,b,0.8062000000000001,47,FedStrategist,a,0.8051,0.001100000000000101
0.5,label_flipping,FedStrategist,b,0.8761000000000001,47,FedStrategist,a,0.884,-0.007899999999999907
0.1,fltrust_aligned,FedStrategist,b,0.7817999999999999,47,FedStrategist,a,0.7823,-0.000500000000000056
0.1,trim_attack,FedStrategist,b,0.4680999999999999,47,FedStrategist,a,0.6186,-0.15050000000000013
0.1,krum_collusion,FedStrategist,b,0.6423,47,FedStrategist,a,0.613,0.029299999999999993
0.1,low_mag_backdoor,FedStrategist,b,0.8541000000000001,47,FedStrategist,a,0.8529,0.0012000000000000899
0.1,sign_flipping,FedStrategist,b,0.6138999999999999,47,FedStrategist,a,0.6063999999999999,0.007499999999999951
0.1,gaussian_noise,FedStrategist,b,0.6399,47,FedStrategist,a,0.7329,-0.09299999999999997
0.1,label_flipping,FedStrategist,b,0.7399,47,FedStrategist,a,0.7933,-0.0534
0.05,fltrust_aligned,FedStrategist,b,0.7341,47,FedStrategist,a,0.7306999999999999,0.0034000000000000696
0.05,trim_attack,FedStrategist,b,0.6117999999999999,47,FedStrategist,a,0.6106999999999999,0.0010999999999999899
0.05,krum_collusion,FedStrategist,b,0.4458,47,FedStrategist,a,0.62,-0.17420000000000002
0.05,low_mag_backdoor,FedStrategist,b,0.7227,47,FedStrategist,a,0.8337,-0.11099999999999999
